Ano,mes_num,total_sinistros,total_obitos,sinistros_com_obito,total_do_estado,total_de_carros,total_de_motos,motocicleta,automovel
2022,1,254,66.0,65,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,2,213,67.0,62,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,3,214,51.0,49,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,4,226,53.0,53,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,5,216,46.0,43,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,6,186,46.0,41,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,7,181,45.0,43,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,8,247,41.0,37,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,9,166,32.0,31,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,10,239,56.0,51,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,11,205,55.0,49,1036837.0,521308.0,436843.0,368968.0,417593.0
2022,12,224,85.0,71,1036837.0,521308.0,436843.0,368968.0,417593.0
2023,1,273,79.0,76,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,2,300,50.0,47,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,3,313,65.0,59,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,4,314,62.0,58,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,5,325,54.0,54,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,6,291,44.0,42,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,7,323,46.0,44,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,8,313,16.0,15,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,9,262,37.0,36,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,10,269,55.0,51,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,11,285,54.0,51,1099104.0,542060.0,474184.0,397977.0,431103.0
2023,12,304,56.0,55,1099104.0,542060.0,474184.0,397977.0,431103.0
2024,1,325,41.0,36,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,2,316,68.0,64,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,3,318,77.0,74,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,4,336,58.0,57,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,5,314,69.0,67,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,6,322,73.0,66,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,7,285,53.0,51,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,8,263,70.0,58,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,9,252,54.0,51,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,10,351,76.0,72,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,11,199,95.0,72,1161615.0,561595.0,513958.0,429323.0,442927.0
2024,12,252,71.0,66,1161615.0,561595.0,513958.0,429323.0,442927.0
2025,1,167,63.0,58,,,,,
2025,2,158,0.0,0,,,,,
2025,3,169,0.0,0,,,,,
2025,4,152,0.0,0,,,,,
2025,5,143,0.0,0,,,,,
2025,6,158,1.0,1,,,,,
2025,7,142,44.0,42,,,,,
2025,8,157,46.0,38,,,,,
